domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
www.casari.co.kr,3,homepage,RuntimeError,가사리방수전시장,https://www.casari.co.kr/,"HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.casari.co.kr'. (_ssl.c:1081)>"
jsagency.kr,3,homepage,RuntimeError,제이에스에이전시닷케이알,https://jsagency.kr/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)>
tagencylondon.com,3,homepage,RuntimeError,테이전시,https://tagencylondon.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
cgcm.museum.seoul.kr,3,homepage,RuntimeError,청계천박물관,http://cgcm.museum.seoul.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.sejong.ac.kr,3,homepage,HTTPError,세종대학교 대양홀,http://www.sejong.ac.kr/,"HTTP Error 302: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily"
theact1scene1.com,3,homepage,RuntimeError,1막1장,http://theact1scene1.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
indplace.site,3,homepage,RuntimeError,인디플레이스,http://indplace.site/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.culturalcenter.or.kr,3,homepage,RuntimeError,중앙문화예술프로그램센터,http://www.culturalcenter.or.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
museartcenter.com,3,homepage,RuntimeError,뮤즈갤러리,http://museartcenter.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
angaspace.com,3,homepage,RuntimeError,공간안가,http://angaspace.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.onfe.kr,3,homepage,RuntimeError,온라인페어,http://www.onfe.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
kureomi.onfe.kr,3,homepage,RuntimeError,온라인페어,http://kureomi.onfe.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
indie.arirang.go.kr,3,homepage,HTTPError,독립영화전용관 아리랑시네미디어센터,http://indie.arirang.go.kr/,HTTP Error 404: Not Found
museum.sb.go.kr,3,page,HTTPError,성북선잠박물관,http://museum.sb.go.kr/exhibition/permanent_3floor.jsp,HTTP Error 404: 404
www.knps.or.kr,3,homepage,HTTPError,국립공원 산악박물관,https://www.knps.or.kr/safety/main/contents.do,HTTP Error 404: Not Found
museum.duksung.ac.kr,3,homepage,RuntimeError,덕성여자대학교 박물관,http://museum.duksung.ac.kr/,HTTP request failed after retries: <urlopen error timed out>
www.miumprojectspace.com,3,homepage,RuntimeError,프로젝트스페이스미음,http://www.miumprojectspace.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
dbculturecity.org,3,homepage,RuntimeError,씨알방학간,http://dbculturecity.org/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
hwarang-s.sen.es.kr,3,homepage,RuntimeError,화랑초등학교,http://hwarang-s.sen.es.kr/,HTTP request failed after retries: <urlopen error [SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1081)>
www.pacoart.kr,3,homepage,RuntimeError,PACO,https://www.pacoart.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
culture.lottemart.com,3,sitemap,HTTPError,롯데마트 문화센터 광교점,https://culture.lottemart.com/sitemap.xml,HTTP Error 404: Not Found
www.photographersgallery.co.kr,3,homepage,RuntimeError,포토그래퍼스갤러리코리아,http://www.photographersgallery.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.grandhiltonseoul.com,3,homepage,RuntimeError,스위스그랜드호텔서울컨벤션센터,http://www.grandhiltonseoul.com/kr/kmain.asp,HTTP request failed after retries: <urlopen error timed out>
gong-won.com,3,homepage,HTTPError,서왕공원,http://gong-won.com/,HTTP Error 404: Not Found
noltheater-hapjeong.com,3,sitemap,HTTPError,NOL 씨어터 합정,https://noltheater-hapjeong.com/sitemap.xml,HTTP Error 404: Not Found
www.santoriniseoul.com,3,homepage,RuntimeError,산토리니서울,http://www.santoriniseoul.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.dt-able.kr,3,homepage,RuntimeError,디티에이블,http://www.dt-able.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.dahaevillar.com,3,homepage,RuntimeError,다해빌라,http://www.dahaevillar.com/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
leekh91588.dothome.co.kr,3,homepage,RuntimeError,유헌서예연구소,http://leekh91588.dothome.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
www.sinmok-culture.co.kr,3,homepage,RuntimeError,신목신협 문화센터,http://www.sinmok-culture.co.kr/,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
www.rounatrium.com,3,homepage,HTTPError,로운아트홀,http://www.rounatrium.com/,HTTP Error 403: Forbidden
culture.gangseo.seoul.kr,3,sitemap,HTTPError,겸재정선미술관,https://culture.gangseo.seoul.kr/sitemap.xml,HTTP Error 404: 404
www.movingmuseum.co.kr,3,homepage,RuntimeError,찾아가는박물관,http://www.movingmuseum.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
pogoonyogoan.eumc.ac.kr,3,homepage,RuntimeError,보구녀관,https://pogoonyogoan.eumc.ac.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
gallery30.co.kr,3,homepage,RuntimeError,갤러리30,http://gallery30.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
jachi.gangseo.seoul.kr,3,homepage,RuntimeError,내발산동문화센터,https://jachi.gangseo.seoul.kr/cpage/program/cpageProgramList,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
www.damaiglobal.co.kr,3,homepage,RuntimeError,디엠지글로벌,http://www.damaiglobal.co.kr/,HTTP request failed after retries: <urlopen error [Errno 11001] getaddrinfo failed>
